Nodes added = 70 :-

ext_f0_gate_number_9  |  college_gate  |  (300, 300)  |  Floor 0  |  outside

ext_f0_j1  |  junction  |  (310, 300)  |  Floor 0  |  outside

ext_f0_wash_basin  |  unknown  |  (320, 300)  |  Floor 0  |  outside

cme_f0_cme_entrance  |  building_entrance  |  (425, 300)  |  Floor 0  |  CME

cme_f0_registrar_office  |  office_room  |  (425, 340)  |  Floor 0  |  CME

cme_f0_male_washroom  |  unknown  |  (405, 340)  |  Floor 0  |  CME

cme_f0_water_filter  |  unknown  |  (425, 350)  |  Floor 0  |  CME

cme_f0_lift_stairs  |  stairs_lift  |  (450, 350)  |  Floor 0  |  CME

cme_f0_iqac  |  office_room  |  (425, 400)  |  Floor 0  |  CME

cme_f0_tpo_office_placement_cell  |  office_room  |  (425, 420)  |  Floor 0  |  CME

cme_f0_guards_desk  |  unknown  |  (445, 420)  |  Floor 0  |  CME

cme_f0_cme_exit  |  building_entrance  |  (535, 450)  |  Floor 0  |  CME

cme_f0_cme_006  |  classroom  |  (425, 495)  |  Floor 0  |  CME

cme_f0_cme_004  |  classroom  |  (430, 495)  |  Floor 0  |  CME

cme_f0_language_lab  |  lab  |  (425, 620)  |  Floor 0  |  CME

cme_f0_fluid_mechanics_lab  |  lab  |  (425, 665)  |  Floor 0  |  CME

cme_f0_cme_008  |  unknown  |  (425, 675)  |  Floor 0  |  CME

cme_f0_service_room  |  unknown  |  (425, 725)  |  Floor 0  |  CME

cme_f0_female_washroom  |  unknown  |  (425, 735)  |  Floor 0  |  CME

cme_f0_stairs  |  stairs_lift  |  (445, 725)  |  Floor 0  |  CME

cme_f0_administrative_office  |  office_room  |  (505, 725)  |  Floor 0  |  CME

ext_f0_j2  |  junction  |  (575, 300)  |  Floor 0  |  outside

ext_f0_j6  |  junction  |  (575, 450)  |  Floor 0  |  outside

ext_f0_j3  |  junction  |  (725, 300)  |  Floor 0  |  outside

cb_f0_cb_entrance  |  building_entrance  |  (725, 450)  |  Floor 0  |  CB

cb_f0_library  |  hall  |  (705, 450)  |  Floor 0  |  CB

cb_f0_placement_hall  |  hall  |  (745, 450)  |  Floor 0  |  CB

cb_f0_entry_gate_1  |  entry_gate  |  (795, 490)  |  Floor 0  |  CB

cb_f0_entry_gate_2  |  entry_gate  |  (695, 490)  |  Floor 0  |  CB

cb_f0_executive_hall  |  hall  |  (745, 490)  |  Floor 0  |  CB

cb_f0_male_washroom  |  unknown  |  (805, 490)  |  Floor 0  |  CB

cb_f0_female_washroom  |  unknown  |  (555, 490)  |  Floor 0  |  CB

cb_f0_sv_auditorium  |  hall  |  (825, 490)  |  Floor 0  |  CB

cb_f0_lift_stairs_1  |  stairs_lift  |  (805, 470)  |  Floor 0  |  CB

cb_f0_colonel_sirs_office  |  office_room  |  (675, 490)  |  Floor 0  |  CB

cb_f0_liftstairs_2  |  stairs_lift  |  (675, 470)  |  Floor 0  |  CB

cb_f0_cb_exit  |  building_entrance  |  (535, 490)  |  Floor 0  |  CB

ext_f0_the_heritage_academy_building  |  junction  |  (875, 300)  |  Floor 0  |  outside

ext_f0_sac_ground  |  unknown  |  (1000, 300)  |  Floor 0  |  outside

ext_f0_hostel_road_junction  |  junction  |  (1000, 250)  |  Floor 0  |  outside

ext_f0_cheap_store  |  unknown  |  (1250, 250)  |  Floor 0  |  outside

ext_f0_30_bigha_ground  |  unknown  |  (1250, 150)  |  Floor 0  |  outside

